X,Y,OBJECTID,NOTES,TYPE,COMPKEY,UNITID,COMPTYPE,SITE,City
505837.20180000,5456913.75080000,82, ,ST,545540,FOREST GR FOUN 2,3,FOREST GROVE PARK,Burnaby
505637.55260000,5456969.04720000,83, ,ST,545541,FOREST GR FOUN 3,3,FOREST GROVE ELEMENTARY,Burnaby
502280.13080000,5456978.06880000,84, ,DDF,545597,SUMAS PK FOUN,3,SUMAS PARK,Burnaby
500763.18620000,5457098.24430000,85, ,ST,545592,SPRINGER PK FOUN,3,SPRINGER PARK,Burnaby
504067.49640000,5457106.08720000,86, ,DF,545500,BBY MTN GC FTN 1,3,BURNABY MOUNTAIN GOLF COURSE,Burnaby
502805.38210000,5457253.41820000,87, ,ST,545545,HALIFAX PK FOUN,3,HALIFAX PARK,Burnaby
504169.14640000,5457259.55310000,88, ,ST,545594,SQUINT LK FOUN 2,3,SQUINT LAKE PARK,Burnaby
504201.18420000,5457394.92930000,89, ,DDF,545595,SQUINT LK FOUN 3,3,SQUINT LAKE PARK,Burnaby
500278.27510000,5457632.25600000,90, ,DF,545479,BRENTWOOD FOUN,3,BRENTWOOD PARK,Burnaby
499063.43320000,5457694.62410000,91, ,ST,545610,WILLINGDN FOUN 2,3,WILLINGDON HEIGHTS PARK,Burnaby
499108.18210000,5457811.51570000,92, ,DF,545609,WILLINGDN FOUN 1,3,WILLINGDON HEIGHTS PARK,Burnaby
500868.25500000,5457863.08530000,93, ,DF,545472,BEECHER FOUN 1,3,BEECHER PARK,Burnaby
500868.00270000,5457863.12410000,94, ,ST,545473,BEECHER FOUN 2,3,BEECHER PARK,Burnaby
501828.28940000,5458200.49840000,95,ball diamonds,DF,545555,KENSINGTN FOUN 2,3,KENSINGTON PARK,Burnaby
501525.87320000,5458226.96020000,96, ,ST,547016,KENSINGTN FOUN 6,3,KENSINGTON PARK,Burnaby
501604.52690000,5458263.01050000,97,clubhouse,ST,545557,KENSINGTN FOUN 4,3,KENSINGTON PARK,Burnaby
501788.48920000,5458410.26370000,98,ball diamonds,DF,545554,KENSINGTN FOUN 1,3,KENSINGTON PARK,Burnaby
501823.10910000,5458503.03310000,99,ball diamonds,DF,545556,KENSINGTN FOUN 3,3,KENSINGTON PARK,Burnaby
504490.05000000,5458604.38450000,100, ,DDF,545499,BBY MTN FOUN 2,3,CENTENNIAL AVE - TCT,Burnaby
503099.47050000,5458824.33600000,101, ,ST,545608,WESTRIDGE FOUN,3,WESTRIDGE PARK,Burnaby
501537.63390000,5458839.91780000,102, ,ST,545542,GEORGE GRN FOUN,3,GEORGE GREEN PARK,Burnaby
504783.26720000,5458898.94230000,103, ,DF,545498,BBY MTN FOUN 1,3,BURNABY MOUNTAIN CONSERVATION AREA,Burnaby
500151.56520000,5458988.38880000,104, ,ST,545529,CONFED FOUN 8,3,CONFEDERATION PARK,Burnaby
500048.01960000,5459013.92510000,105, ,DF,545526,CONFED FOUN 5,3,CONFEDERATION PARK,Burnaby
500151.23540000,5459018.83770000,106, ,ST,545528,CONFED FOUN 7,3,CONFEDERATION PARK,Burnaby
500140.41010000,5459018.86590000,107, ,BF,545530,CONFED FOUN 9,3,CONFEDERATION PARK,Burnaby
