X,Y,OBJECTID,NOTES,TYPE,COMPKEY,UNITID,COMPTYPE,SITE
500048.0196,5459013.9251,105, ,DF,545526,CONFED FOUN 5,3,CONFEDERATION PARK
500151.2354,5459018.8377,106, ,ST,545528,CONFED FOUN 7,3,CONFEDERATION PARK
500140.4101,5459018.8659,107, ,BF,545530,CONFED FOUN 9,3,CONFEDERATION PARK
500142.4534,5459076.9665,108, ,ST,545527,CONFED FOUN 6,3,CONFEDERATION PARK
499888.003,5459091.5716,109, ,ST,545524,CONFED FOUN 2,3,CONFEDERATION PARK
499932.8939,5459131.5282,110, ,DF,545523,CONFED FOUN 3,3,CONFEDERATION PARK
500038.6841,5459146.0664,111, ,DF,545522,CONFED FOUN 1,3,CONFEDERATION PARK
500193.5201,5459227.4767,112, ,DDF,545525,CONFED FOUN 4,3,CONFEDERATION PARK
501057.8355,5459450.1709,113, ,DDF,545546,HARBOURVIEW FOUN,3,CAPITOL HILL - GROSVENOR CR
505549.6259,5459482.3977,114, ,DF,545471,BARNET PK FOUN 4,3,BURNABY MOUNTAIN CONSERVATION AREA
499218.6013,5459574.0547,115, ,ST,545572,MCGILL PK FOUN,3,MCGILL PARK
505728.0651,5459689.5589,116, ,DF,545469,BARNET PK FOUN 2,3,BARNET MARINE PARK
505486.6354,5459710.2193,117, ,ST,545468,BARNET PK FOUN 1,3,BARNET MARINE PARK
505644.8289,5459746.6855,118, ,DF,545470,BARNET PK FOUN 3,3,BARNET MARINE PARK
505448.9749,5459792.7505,119, ,DF,545580,BARNET PK FOUN 5,3,BARNET MARINE PARK
502219.1112,5454194.3316,120, ,DF,546323,SHADBOLT FOUN 1,3,SHADBOLT
502219.1112,5454194.3316,121, ,DF,546992,SHADBOLT FOUN 2,3,SHADBOLT
502519.4478,5455418.297,122, ,DF,545514,BBY LK W FOUN 8,3,Bby Lake Rink
502519.7914,5455509.3686,123,lower lobby,DF,546946,BILL COP FOUN 1,3,Bill Copland
502532.0097,5453605.1264,124, Fieldhouse,DF,546961,DEER LAKE FOUN 2,3,DEER LAKE PARK
502519.7914,5455509.3686,125,upper lobby,DF,546947,BILL COP FOUN 3,3,Bill Copland
502519.7914,5455509.3686,126,dressing room hall,BF,546949,BILL COP FOUN 4,3,Bill Copland
502519.7914,5455509.3686,127,dressing room hall,BF,546950,BILL COP FOUN 5,3,Bill Copland
502519.7914,5455509.3686,128,lower lobby,DF,547036,BILL COP FOUN 2,3,Bill Copland
500222.8794,5452375.3846,129, ,DF,546952,BONSOR PK FOUN 5,3,Bonsor
500222.8794,5452375.3846,130, ,DF,546951,BONSOR PK FOUN 4,3,Bonsor
500222.8794,5452375.3846,131, ,DF,546953,BONSOR PK FOUN 6,3,Bonsor
500222.8794,5452375.3846,132, ,DF,546954,BONSOR PK FOUN 7,3,Bonsor
500222.8794,5452375.3846,133, ,DF,545477,BONSOR PK FOUN 3,3,Bonsor
507331.3817,5455696.0856,134, ,DF,546956,CAMERON FOUN 1,3,Cameron Rec Centre and Branch
507331.3817,5455696.0856,135, ,DF,546957,CAMERON FOUN 2,3,Cameron Rec Centre and Branch
502005.7468,5454505.387,136, ,DF,546959,CITY HALL FOUN 1,3,City Hall
502005.7468,5454505.387,137, ,DF,546960,CITY HALL FOUN 2,3,City Hall
502355.2089,5454215.0893,138,Carousel,DF,547017,DEER LAKE FOUN 3,3,DEER LAKE PARK
501889.2905,5458133.2007,139,rink,DF,546964,KENSINGTN FOUN 5,3,KENSINGTON RINK
499047.8476,5457600.0333,140, ,DF,546999,WILLINGDN FOUN 3,3,Willingdon Heights Rec Centre
506917.579,5455478.0674,141, ,ST,545474,BELL PK FOUN,3,BELL PARK
506099.9926,5452830.5071,142, ,ST,545544,GEORGE LEAF FOUN,3,GEORGE LEAF PARK
499958.8874,5458884.7803,143, ,DF,546962,MCGILL LB FOUN,3,MCGILL LIBRARY
502219.1112,5454194.3316,144, ,DF,546978,SHADBOLT FOUN 3,3,SHADBOLT
503473.2944,5451777.9752,145,main floor,DF,547083,TOMMY D LIB FOUN,3,TOMMY DOUGLAS LIBRARY
499593.9331,5452820.7208,146, ,DF,546327,METROTWN LB FOUN,3,METROTOWN LIBRARY
504224.7531,5456828.1281,147, ,DF,545504,BBY MTN GC FTN 5,3,BURNABY MOUNTAIN GOLF COURSE
504158.515,5457228.6169,148, ,DF,545593,SQUINT LK FOUN 1,3,SQUINT LAKE PARK
499932.6766,5458854.7446,149,PARKING LOT,DF,548193,MCGILL LB FOUN2,3,MCGILL LIBRARY
499782.3813,5457775.5106,150,,,642717,WILLINGDN FOUN 4,3,
500555.5559,5452455.7084,151,,,642798,LOBLEY PK FOUN,3,
