MAPID,Neighborhood,X,Y,TYPE,LOCATION,DETAILED_LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME,City,Geom
DFENG0809,Mount Pleasant,492665.0241293080,5456194.8668476500,Temporary Misting Station location, Main St & 14th Ave,Main st & 14th Ave,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[492665.0241293088,5456194.8668476585]}"
DFENG0805,Strathcona,492809.1399043040,5457898.3656214000,Temporary Misting Station location, Thornton Park,East side of Thornton Park across from Pacific Central,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[492809.13990430435,5457898.365621407]}"
DFENG0004,Oakridge,492250.8001526390,5451863.0257305900,Fountain location, 56th & Ontario,Northwest corner of 56th & Ontario,Engineering,May-October,Y,56th_ontario.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492250.8001526397,5451863.025730592]}"
DFENG0025,West End,490072.3209876640,5459340.8887396900,Fountain location, Comox & Cardero,Northeast corner of Comox & Cardero,Engineering,Year Round,N,comox_cardero.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490072.3209876642,5459340.888739698]}"
DFENG0027,West End,489841.9229116730,5459568.9103744600,Fountain location, Comox & Denman,Northwest corner of Comox & Denman,Engineering,Year Round,N,comox_denman.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[489841.92291167396,5459568.910374468]}"
DFENG0023,Mount Pleasant,492667.0076873680,5456482.0619550000,Fountain location, Main & 11th,Southeast corner of Main & 11th,Engineering,Year Round,N,main_11th.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492667.0076873681,5456482.061955005]}"
DFENG0007,West End,490303.3198465970,5459226.1736210500,Fountain location, Nelson & Broughton,In mini park at Nelson & Broughton,Engineering,May-October,N,neslon_broughton.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490303.31984659756,5459226.173621051]}"
DFENG0051,Fairview,491112.2306315150,5456631.9438762300,Fountain location, 10th & Willow,Northwest corner of 10th & Willow,Engineering,Year Round,N,10th_willow.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[491112.2306315154,5456631.943876234]}"
DFENG0049,Mount Pleasant,492990.3474952680,5456479.0391232900,Fountain location, 11th & Prince Edward,Northeast corner of 11th & Prince Edward,Engineering,May-October,Y,11th_prince_edward.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492990.347495268,5456479.039123293]}"
DFENG0048,Marpole,491754.1119087020,5451585.6000672900,Fountain location, 375 W 59th Avenue,Northeast corner of Alberta St and W 59th Ave,Engineering,Year Round,N,375_w_59th.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[491754.111908702,5451585.600067298]}"
DFENG0711,Strathcona,493498.9029971580,5458727.1743711900,Temporary Fountain location, E Hastings & Heatley,NE corner of E Hastings St and Heatley Ave,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[493498.90299715864,5458727.174371198]}"
