MAPID,Neighborhood,X,Y,TYPE,LOCATION,DETAILED_LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME,City,Geom
DFENG0035,Mount Pleasant,493508.2402719970,5456655.3870587600,Fountian Location, Fraser & Broadway,Northwest corner of Fraser & Broadway,Engineering,Year Round,N,fraser_broadway.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[493508.2402719979,5456655.387058769]}"
DFENG0708,Downtown,491409.8533525370,5458848.8831482200,Temporary Fountain location, London Drugs,733 Granville St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[491409.85335253703,5458848.883148225]}"
DFENG0605,Downtown,492434.5347731270,5458751.7706538300,Temporary Handwashing Station location, 15 E Hastings,15 E Hastings St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[492434.5347731274,5458751.77065383]}"
DFPB0014,Arbutus-Ridge,487448.0091476430,5456043.7247610900,Fountain location, Carnarvon Park,S-side of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[487448.00914764375,5456043.724761096]}"
DFPB0036,South Cambie,491086.2751119860,5455481.8785020500,Fountain location, Douglas Park (community centre),exterior of building,Parks,spring to fall,,Douglas Park - drinking fountain 2 - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[491086.2751119863,5455481.878502053]}"
DFPB0039,Downtown,490996.6711084490,5458267.4628337500,Fountain location, Emery Barnes Park - Dog off-leash area,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[490996.6711084496,5458267.462833754]}"
DFPB0046,Kerrisdale,489123.5666485730,5450504.2160343900,Fountain location, Fraser River Park - park entrance by Angus Dr,near park entrance by Angus Dr,Parks,spring to fall,,Fraser River Park - drinking fountain - 2007.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[489123.5666485731,5450504.216034391]}"
DFPB0063,Hastings-Sunrise,497221.2768309000,5458637.4520938000,Fountain location, Hastings Community Park - South of wading pool,besides wading pool,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[497221.2768309002,5458637.452093807]}"
DFPB0076,Hastings-Sunrise,496716.0821449740,5456811.7156172000,Fountain location, Kaslo Park,SE corner of tennis courts,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496716.0821449744,5456811.715617204]}"
DFPB0078,Kerrisdale,488556.8894750600,5453418.1869544800,Fountain location, Kerrisdale Centennial Park,2nd N-side entrance,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[488556.88947506016,5453418.186954489]}"
DFPB0084,Kitsilano,488963.8521132450,5458243.1500067200,Fountain location, Kitsilano Beach Park - North of parking lot,besides parking lot,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[488963.85211324506,5458243.150006728]}"
DFPB0102,Sunset,493829.4364567720,5453208.7509738500,Fountain location, Memorial South Park - West of Softball Diamond,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[493829.4364567728,5453208.75097385]}"
DFPB0104,Dunbar-Southlands,486368.6470446930,5454537.8966693600,Fountain location, Memorial West Park,S of tennis courts,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[486368.6470446935,5454537.896669361]}"
DFPB0109,Mount Pleasant,492255.4936352510,5456028.0799474900,Fountain location, Mount Pleasant Park,S-side of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[492255.49363525165,5456028.079947493]}"
DFPB0133,Sunset,493997.8902839150,5451573.0104812200,Fountain location, Ross Park,in front of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[493997.89028391533,5451573.010481226]}"
DFPB0191,Kerrisdale,489697.6323205670,5451889.1906431200,Fountain location, Shannon Mews Park,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[489697.6323205676,5451889.190643128]}"
DFPB0138,Renfrew-Collingwood,496381.0610051030,5456178.2717929900,Fountain location, Slocan Greenway,12th and slocan,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496381.06100510317,5456178.271792991]}"
DFPB0181,West End,490106.2148896640,5458824.4142083500,Fountain location, West End minipark - JERVIS ST @ BURNABY ST,north end,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[490106.2148896649,5458824.4142083535]}"
DFENG0807,West End,490606.4214196090,5458805.5064360700,Temporary Misting Station location, Nelson Park,NW corner of Thurlow St & Comox St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[490606.4214196095,5458805.506436074]}"
DFENG0012,South Cambie,490727.2107592210,5453875.5542038300,Fountain location, 37th & Oak,Southeast corner of 37th & Oak,Engineering,May-October,N,37th_oak.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490727.2107592213,5453875.554203837]}"
DFENG0018,Riley Park,492918.3298315450,5453828.7439750600,Fountain location, 37th & Prince Edward,Northwest corner of 37th & Prince Edward,Engineering,May-October,Y,37th_prince_edward.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492918.3298315455,5453828.74397506]}"
DFENG0020,Strathcona,492928.4281110200,5458741.4413596000,Fountain location, Hastings & Gore,Northeast corner of Hastings & Gore,Engineering,Year Round,N,e_hastings_gore.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492928.4281110203,5458741.4413596075]}"
DFENG0036,Kitsilano,487788.9952929920,5457670.7602256300,Fountain location, Pt.Grey & MacDonald,Northwest corner of Pt. Grey & MacDonald,Engineering,Year Round,N,point_grey_rd_macdonald.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[487788.9952929921,5457670.760225636]}"
DFENG0604,Strathcona,493059.7657530970,5458846.9974936000,Temporary Handwashing Station location, Dunlevy & E Cordova,255 Dunlevy Av,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[493059.765753097,5458846.997493606]}"
DFPB0002,Hastings-Sunrise,498245.1735866690,5458134.4175682300,Fountain location, Adanac Park,SW side of Field house,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[498245.17358666984,5458134.417568236]}"
DFPB0019,Mount Pleasant,494248.7455432790,5456556.9312019800,Fountain location, China Creek South Park,S-side of skate park,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[494248.74554327986,5456556.931201983]}"
DFPB0022,Hastings-Sunrise,496241.2555298090,5457626.5825023200,Fountain location, Clinton Park - North side of ball diamond,N-side of B-ball diamond,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496241.2555298091,5457626.582502323]}"
DFPB0031,Downtown,492508.2192643510,5457961.9749354900,Fountain location, Creekside Park,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[492508.21926435124,5457961.97493549]}"
DFPB0041,West End,489633.0889210210,5459429.1798287800,Fountain location, English Bay Beach Park - Davie st entrance,Davie st entrance,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[489633.088921021,5459429.179828785]}"
DFPB0052,Renfrew-Collingwood,497714.5434883130,5453758.8604482000,Fountain location, Gaston Park,near basketball court,Parks,spring to fall,,Gaston Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[497714.5434883131,5453758.860448205]}"
DFPB0061,Downtown,491043.9333819090,5459773.5619891200,Fountain location, Harbour Green Park - foot of Jervis Mews,foot of Jervis Mews,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[491043.9333819093,5459773.561989128]}"
DFPB0064,Hastings-Sunrise,497046.5026836910,5458636.4313310900,Fountain location, Hastings Community Park - SE of tennis courts,besides path leading to spray,Parks,spring to fall,,Hastings Community Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[497046.50268369116,5458636.431331097]}"
DFPB0065,Hastings-Sunrise,496876.8506562340,5458945.0302720800,Fountain location, Hastings Park - Italian gardens,near skate park,Parks,spring to fall,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[496876.85065623483,5458945.03027208]}"
DFPB0070,Hastings-Sunrise,497508.0520852380,5458868.3063247900,Fountain location, Hastings Park -Plateau Sport Parks / Empire Fields,empire field - soccer fields,Parks,,,Hastings Park (Empire Field) - drinking fountain - 2006.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[497508.05208523833,5458868.306324796]}"
DFPB0074,Kensington-Cedar Cottage,495490.4000528710,5455698.0772374700,Fountain location, John Hendry (Trout Lake) Park,nearby beach,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[495490.4000528712,5455698.077237473]}"
DFPB0077,Kensington-Cedar Cottage,494593.3074553560,5453943.3610908100,Fountain location, Kensington Park,between baseball diamond and parking lots,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[494593.30745535606,5453943.361090816]}"
DFPB0081,Kensington-Cedar Cottage,494573.2787919760,5454964.7212833100,Fountain location, Kingcrest Park,E-side of washroom,Parks,spring to fall,,Kingcrest Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[494573.2787919769,5454964.721283314]}"
DFPB0098,Kerrisdale,487777.5628541520,5452044.0019488400,Fountain location, McCleery Golf Course - clubhouse building,clubhouse building,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[487777.5628541524,5452044.001948847]}"
DFPB0099,Kerrisdale,487648.9469490650,5452003.7774116900,Fountain location, McCleery Golf Course - driving range,driving range,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[487648.9469490659,5452003.777411696]}"
DFPB0108,Grandview-Woodland,494602.4519909820,5457840.3971653000,Fountain location, Mosaic Creek Park,near children's play area,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[494602.4519909823,5457840.397165304]}"
DFPB0125,Riley Park,491736.6360817850,5454406.8257781600,Fountain location, Queen Elizabeth Park - At Conservatory,At Conservatory,Parks,spring to fall,,Queen Elizabeth Park (Ontario Greenway) - drinking fountain 2 - 2006.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[491736.6360817854,5454406.825778168]}"
DFPB0130,Mount Pleasant,493313.1993892340,5456129.7507177300,Fountain location, Robson Park,N-side of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[493313.1993892344,5456129.750717738]}"
DFPB0158,Stanley Park,489218.2593734220,5462001.1172807100,Fountain location, Stanley Park - Brockton Point Viewpoint,Brockton point - lighthouse,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489218.25937342236,5462001.117280712]}"
DFPB0147,Stanley Park,489626.8831523700,5462205.0546406800,Fountain location, Stanley Park - Prospect Point Washrooms,prospect point washrooms,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489626.8831523704,5462205.05464068]}"
DFPB0148,Stanley Park,490220.8577984600,5461000.3868352900,Fountain location, Stanley Park - West side of Stanley Park Train,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[490220.8577984606,5461000.38683529]}"
DFPB0163,Strathcona,493776.4294541990,5458143.3955549500,Fountain location, Strathcona Park - North west of basketball court,besides basketball court,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[493776.42945419985,5458143.395554956]}"
DFPB0171,Oakridge,491390.4422916870,5452861.6155071100,Fountain location, Tisdall Park,near North baseball diamond,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[491390.44229168777,5452861.61550711]}"
DFENG0502,Fairview,490093.5348486440,5457431.7784120700,Bottle Filling Station location, Granville Island Pumping Station,North side of sewage pumping station on seawall east of the granville island entrance,Engineering,Year Round,N,GranvilleIslandPumpingStation.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490093.534848644,5457431.778412076]}"
DFENG0032,Kitsilano,487875.6000308540,5456843.5837823000,Fountain location, Broadway & Stephens,Northwest corner of Broadway & Stephens,Engineering,May-October,N,w_broadway_stephens.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[487875.6000308544,5456843.583782303]}"
DFENG0021,Grandview-Woodland,494951.8597762780,5457231.0034213200,Fountain location, Commercial & 3rd,Northeast corner of Commercial & 3rd,Engineering,May-October,Y,commercial_3rd.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[494951.85977627855,5457231.003421324]}"
DFENG0031,Mount Pleasant,491666.0452099530,5456620.7382288600,Fountain location, Cambie & 10th,Northeast corner of Cambie & 10th,Engineering,Year Round,N,10th_cambie.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[491666.0452099536,5456620.738228863]}"
DFPB0006,Downtown,492467.6194399710,5458371.9782005600,Fountain location, Andy Livingstone Park - South of soccer fields,north side of fieldhouse,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[492467.6194399713,5458371.978200565]}"
DFPB0007,Kitsilano,488700.4791603310,5456619.3330879500,Fountain location, Arbutus Greenway Park,S-side of playground,Parks,spring to fall,,Arbutus Greenway Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[488700.4791603313,5456619.333087951]}"
DFPB0012,Victoria-Fraserview,495915.0428511950,5451427.8452946600,Fountain location, Bobolink Park,in front of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[495915.04285119503,5451427.845294668]}"
DFPB0132,Kensington-Cedar Cottage,495181.2221928850,5454978.0524485800,Fountain location, Brewers Park,S-side of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[495181.2221928855,5454978.0524485875]}"
DFPB0026,Kitsilano,488255.6955099110,5456580.1975172500,Fountain location, Connaught Park - North of playground,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[488255.69550991134,5456580.197517253]}"
DFPB0047,Killarney,496921.5362524690,5450957.5134313300,Fountain location, Fraserview Golf Course - West of kerr st.,West of kerr st.,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496921.53625246923,5450957.513431337]}"
DFPB0050,Killarney,496257.9655456190,5451079.7566386800,Fountain location, Fraserview Golf Course - driving range,driving range,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496257.9655456194,5451079.756638684]}"
DFPB0073,West Point Grey,486053.5305049910,5457712.7246874400,Fountain location, Jericho Beach Park,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[486053.5305049916,5457712.724687445]}"
DFPB0088,Oakridge,491806.3623498470,5452351.1569162400,Fountain location, Langara Golf Course - clubhouse building,clubhouse building,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[491806.36234984745,5452351.156916246]}"
DFPB0090,Sunset,492828.9926526130,5453037.3200072700,Fountain location, MacDonald Park,near NW corner of tennis court,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[492828.99265261326,5453037.320007275]}"
DFPB0107,West End,489655.5618185490,5459430.2492691300,Fountain location, Morton Park,,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489655.56181854947,5459430.249269136]}"
DFPB0117,Marpole,490668.2804451740,5451585.5342998600,Fountain location, Oak Park - East of fieldhouse,East side of fieldhouse,Parks,spring to fall,,Oak Park - drinking fountain 3 - 2007.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[490668.28044517484,5451585.534299867]}"
DFPB0129,Killarney,496287.6182939840,5450340.1005105000,Fountain location, Riverfront Park - West of tennis courts,w-side of tennis courts,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496287.61829398444,5450340.100510507]}"
DFPB0141,Stanley Park,489647.2898135620,5462315.6046881300,Fountain location, Stanley Park - Prospect Point Lookout,Prospect Point viewing,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489647.28981356265,5462315.60468813]}"
DFPB0164,Strathcona,493695.4231179990,5458023.1294682300,Fountain location, Strathcona Park - besides baseball diamond,besides baseball diamond,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[493695.4231179999,5458023.129468233]}"
DFPB0176,Kitsilano,489834.4669344760,5458060.5932708600,Fountain location, Vanier Park (Burrard Civic Marina),,Parks,year-round,,,Vancouver,"{""type"":""Point"",""coordinates"":[489834.4669344763,5458060.593270867]}"
DFENG0811,Strathcona,493178.4504056790,5458899.2104337800,Temporary Misting Station Location, Oppenheimer Park,NE Corner of Oppenheimer Park,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[493178.4504056799,5458899.210433785]}"
DFENG0810,Marpole,490187.1621228500,5450652.3412410400,Temporary Misting Station location, W 70th Ave & Hudson St,W 70th Ave & Hudson St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[490187.16212285066,5450652.341241048]}"
DFENG0503,Downtown,490428.7544553920,5457850.1320395000,Bottle Filling Station location, Granville St Pumping Station,North side of sewage pumping station under Granville Bridge on bike route,Engineering,Year Round,N,GranvilleStPumpingStation.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490428.7544553923,5457850.132039508]}"
DFENG0505,Strathcona,492806.8465645680,5457813.4119626100,Bottle Filling Station location, Thornton Park Pumping Station,West side of sewage pumping station on w/s/ 1200 Station St,Engineering,Year Round,N,ThorntonParkPumpingStation.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492806.8465645685,5457813.411962618]}"
DFENG0002,Kensington-Cedar Cottage,495711.3147885070,5453554.2501725600,Fountain location, 39th & Nanaimo,Southwest corner of 39th & Nanaimo,Engineering,May-October,N,39th_nanaimo.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[495711.3147885073,5453554.250172566]}"
DFENG0028,West End,489726.0298828850,5459679.3331107000,Fountain location, Gilford & Comox,Northwest corner of Gilford & Comox,Engineering,May-October,N,gilford_comox.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[489726.0298828853,5459679.333110703]}"
DFENG0006,West End,489803.3600578530,5459759.4135831600,Fountain location, Gilford & Nelson,Northwest corner of Gilford & Nelson,Engineering,May-October,N,gilford_nelson.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[489803.3600578535,5459759.413583169]}"
DFENG0053,West End,489958.7446792370,5459906.5783374600,Fountain location, Gilford St & Haro St,Gilford mini park,Engineering,Year Round,Y,,Vancouver,"{""type"":""Point"",""coordinates"":[489958.744679237,5459906.57833746]}"
DFENG0043,Renfrew-Collingwood,498200.6460209640,5453547.3157169400,Fountain location, Ormidale St & Vanness Avenue,Southeast corner of Ormidale St & Vanness Avenue,Engineering,Year Round,N,ormidale_vanness.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[498200.64602096425,5453547.315716941]}"
DFENG0705,Grandview-Woodland,494945.4659534810,5456632.5341985500,Temporary Fountain location, Commercial & E Broadway,NE corner of Commercial Drive & East Broadway,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[494945.4659534811,5456632.534198552]}"
DFENG0707,Strathcona,493203.9553284450,5458939.8673886100,Temporary Fountain location, Powell & Jackson,477 Powell St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[493203.9553284457,5458939.867388612]}"
DFENG0609,Strathcona,492919.1714120990,5458782.3641513900,Temporary Handwashing Station location, 384 Main,384 Main St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[492919.17141209904,5458782.364151397]}"
DFENG0607,Kensington-Cedar Cottage,493781.9724584160,5455771.0439812700,Temporary Handwashing Station location, ICBC 999 Kingsway,999 Kingsway,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[493781.9724584161,5455771.043981275]}"
